Time,RawValue1,RawValue2
2769.383308618,384,5264
2769.384830456,416,5248
2769.386358147,416,5248
2769.387891189,400,5280
2769.38941649,400,5232
2769.390937125,384,5232
2769.392462074,400,5264
2769.393989653,432,5264
2769.395515918,432,5264
2769.397054793,416,5264
2769.398583502,400,5280
2769.40011034,432,5280
2769.401635716,416,5264
2769.403160832,416,5264
2769.404683726,416,5264
2769.406205564,432,5280
2769.407735384,432,5264
2769.409268593,416,5248
2769.410793801,416,5264
2769.412321344,432,5264
2769.413849312,416,5280
2769.415375835,416,5280
2769.416904933,416,5264
2769.418433345,416,5264
2769.419967258,432,5280
2769.42149517,416,5280
2769.423022231,416,5280
2769.424548236,416,5280
2769.426076685,416,5280
2769.427602376,400,5264
2769.429123973,448,5280
2769.430652997,416,5280
2769.432180391,416,5264
2769.433708785,416,5264
2769.43523603,448,5280
2769.436770906,416,5280
2769.438296855,432,5280
2769.439824786,416,5264
2769.441352384,416,5280
2769.442903167,416,5280
2769.444436172,416,5264
2769.445966695,416,5296
2769.447492534,448,5264
2769.449020854,400,5280
2769.450546988,400,5232
2769.452077382,368,5232
2769.453598647,384,5248
2769.455129837,384,5248
2769.456660657,400,5264
2769.458205217,400,5296
2769.459746797,416,5264
2769.461275005,400,5232
2769.462808547,416,5216
2769.46434133,400,5280
2769.465875465,400,5264
2769.467401859,400,5248
2769.468933068,432,5248
2769.470454739,416,5264
2769.471976207,400,5248
2769.473502898,416,5264
2769.475067755,384,5248
2769.476593926,416,5264
2769.478118431,400,5264
2769.479639585,400,5280
2769.481158386,368,5248
2769.482678521,416,5248
2769.484203489,384,5296
2769.485729494,400,5264
2769.487251425,400,5248
2769.488778411,416,5248
2769.490297768,400,5232
2769.491819532,400,5216
2769.493347722,416,5280
2769.494882579,400,5264
2769.496407325,432,5264
2769.497961497,432,5280
2769.499490372,400,5280
2769.501012989,448,5264
2769.502537586,416,5280
2769.504068258,432,5280
2769.505601393,416,5280
2769.50712399,432,5280
2769.508648643,416,5280
2769.510175408,416,5280
2769.511714579,416,5264
2769.513238936,416,5280
2769.514766201,416,5264
2769.516297058,416,5296
2769.517822933,416,5264
2769.519347901,400,5296
2769.520869591,400,5280
2769.522390967,448,5280
2769.523919305,432,5280
2769.525445532,416,5264
2769.526974445,448,5280
2769.528502098,448,5264
2769.530023751,416,5280
2769.531546886,416,5264
2769.533086798,416,5280
2769.534619803,416,5280
2769.536145975,432,5264
2769.537678239,432,5280
2769.539206781,416,5280
2769.540731583,416,5280
2769.542256736,416,5264
2769.54381,416,5280
2769.545341765,400,5264
2769.546866048,432,5248
2769.54839596,400,5264
2769.549924187,400,5248
2769.551449229,416,5232
2769.552979605,384,5264
2769.554505999,400,5280
2769.556033707,384,5248
2769.557565138,416,5232
2769.559094218,384,5264
2769.560627056,416,5248
2769.562152376,400,5264
2769.563683011,416,5248
2769.56520696,400,5248
2769.566731521,416,5280
2769.568277192,384,5296
2769.569809457,368,5280
2769.571335795,400,5264
2769.5728653,400,5248
2769.574393916,400,5248
2769.575921681,416,5264
2769.577445223,400,5248
2769.578974265,416,5264
2769.580501159,416,5248
2769.582032275,400,5248
2769.583559298,416,5248
2769.585089359,416,5232
2769.586613068,416,5248
2769.588134221,400,5264
2769.589657356,400,5248
2769.591183768,416,5248
2769.59271131,368,5264
2769.594230945,416,5280
2769.595746357,400,5264
2769.597268992,416,5280
2769.598819608,416,5264
2769.600341372,448,5264
2769.601869989,416,5280
2769.603401975,416,5248
2769.604929276,416,5264
2769.606451207,400,5280
2769.607975324,416,5264
2769.609503384,400,5264
