Time,RawValue
4267.631378875,0
4267.633045622,16
4267.634712388,16
4267.636379172,0
4267.6380459,0
4267.639712721,0
4267.641379431,0
4267.643046234,32
4267.644712944,16
4267.646379635,0
4267.648046438,0
4267.649713222,16
4267.651379913,0
4267.653046604,16
4267.654713333,16
4267.656380024,0
4267.658046827,0
4267.659713537,0
4267.66138021,0
4267.663046901,0
4267.664713648,0
4267.666380321,0
4267.668047013,16
4267.669713685,0
4267.671380358,0
4267.673047161,0
4267.674713852,0
4267.676380525,0
4267.678047328,0
4267.679714001,16
4267.681380822,0
4267.683047643,0
4267.684714353,0
4267.686381063,16
4267.68804781,0
4267.689714594,16
4267.691381415,16
4267.693048236,0
4267.69471502,0
4267.696381748,16
4267.698048495,0
4267.699715261,0
4267.701381971,16
4267.703048792,0
4267.704715502,0
4267.706382212,0
4267.708048977,0
4267.709715724,0
4267.711382453,0
4267.713049181,16
4267.714715873,0
4267.716382657,0
4267.718049478,0
4267.719716262,0
4267.721383083,0
4267.723049756,16
4267.724716447,16
4267.726383194,0
4267.728049978,0
4267.729716651,0
4267.731383398,0
4267.733050182,0
4267.734716892,32
4267.736383639,0
4267.73805046,16
4267.739717152,16
4267.741383973,0
4267.74305072,0
4267.744717485,0
4267.746384306,0
4267.748051072,16
4267.7497178,0
4267.751384603,0
4267.753051313,16
4267.75471806,0
4267.756384733,0
4267.758051424,0
4267.759718097,16
4267.761384844,0
4267.763051628,0
4267.764718393,16
4267.766385196,0
4267.768051887,0
4267.769718579,0
4267.771385252,16
4267.773051925,0
4267.774718635,0
4267.776385437,0
4267.778052184,16
4267.779719005,0
4267.781385678,0
4267.783052481,16
4267.784719228,16
4267.786386012,16
4267.788052796,0
4267.789719598,16
4267.791386382,0
4267.793053203,0
4267.79471995,0
4267.796386753,0
4267.798053537,0
4267.799720228,0
4267.801387031,0
4267.803053741,0
4267.804720525,16
