Time,Data1,Data2
7.044157,0.0,0.0
7.064314,0.0,0.0
7.08446,0.0,0.0
7.104643,0.0,0.0
7.124961,0.0,0.0
7.145305,0.0,0.0
7.165459,0.0,0.0
7.185614,0.0,0.0
7.205899,0.0,0.0
7.226054,0.0,0.0
7.246483,0.0,0.0
7.266638,0.0,0.0
7.286896,0.0,0.0
7.307248,0.0,0.0
7.327354,0.0,0.0
7.347773,0.0,0.0
7.367937,0.0,0.0
7.388191,0.0,0.0
7.408388,0.0,0.0
7.428647,0.0,0.0
7.448956,0.0,0.0
7.469114,0.0,0.0
7.489273,0.0,0.0
7.509616,0.0,0.0
7.529767,0.0,0.0
7.550183,0.0,0.0
7.570342,0.0,0.0
7.590595,0.0,0.0
7.610928,0.0,0.0
7.631025,0.0,0.0
7.651529,0.0,0.0
7.671682,0.0,0.0
7.691938,0.0,0.0
7.71212,0.0,0.0
7.732492,0.0,0.0
7.752808,0.0,0.0
7.773044,0.0,0.0
7.793195,0.0,0.0
7.813462,0.0,0.0
7.833624,0.0,0.0
7.854035,0.0,0.0
7.874183,0.0,0.0
7.89444,0.0,0.0
7.914794,0.0,0.0
7.934884,0.0,0.0
7.955364,0.0,0.0
7.975497,0.0,0.0
7.995727,0.0,0.0
8.015924,0.0,0.0
8.036179,0.0,0.0
8.056495,0.0,0.0
8.076644,0.0,0.0
8.096802,0.0,0.0
8.117082,0.0,0.0
8.137252,0.0,0.0
8.157671,0.0,0.0
8.17786,0.0,0.0
8.198138,0.0,0.0
8.218506,0.0,0.0
8.238605,0.0,0.0
8.259048,0.0,0.0
8.279204,0.0,0.0
8.299453,0.0,0.0
8.319647,0.0,0.0
8.339909,0.0,0.0
8.360227,0.0,0.0
8.380379,0.0,0.0
8.400533,0.0,0.0
8.420867,0.0,0.0
8.441025,0.0,0.0
8.461434,0.0,0.0
8.481579,0.0,0.0
8.501835,0.0,0.0
8.522194,0.0,0.0
8.54229,0.0,0.0
8.56272,0.0,0.0
8.58286,0.0,0.0
8.603092,0.0,0.0
8.623306,0.0,0.0
8.643462,0.0,0.0
8.663777,0.0,0.0
8.683929,0.0,0.0
8.70412,0.0,0.0
8.724567,0.0,0.0
8.744707,0.0,0.0
8.765021,0.0,0.0
8.785177,0.0,0.0
8.805347,0.0,0.0
8.825547,0.0,0.0
8.845795,0.0,0.0
8.866108,0.0,0.0
8.886259,0.0,0.0
8.92125,0.0,0.0
8.941674,0.0,0.0
8.961853,0.0,0.0
8.982062,0.0,0.0
9.00219,0.0,0.0
9.022333,0.0,0.0
9.042719,0.0,0.0
9.062857,0.0,0.0
9.083111,0.0,0.0
9.103269,0.0,0.0
9.123521,0.0,0.0
