Time,Frequency
0.039052,1.6004
0.051146,1.222
0.038367,1.629
0.049311,1.2675
0.039048,1.6006
0.051588,1.2115
0.040408,1.5467
0.055969,1.1167
0.042921,1.4562
0.052552,1.1893
0.038294,1.6321
0.049594,1.2602
0.039288,1.5908
0.05151,1.2133
0.040777,1.5327
0.051823,1.206
0.038775,1.6119
0.051219,1.2203
0.039921,1.5656
0.050476,1.2382
0.03941,1.5859
0.051372,1.2166
0.039657,1.576
0.052508,1.1903
0.041289,1.5137
0.052661,1.1868
0.040401,1.547
0.052968,1.18
0.041959,1.4895
0.054999,1.1364
0.042611,1.4667
0.054052,1.1563
0.042523,1.4698
0.056472,1.1067
0.044526,1.4037
0.056444,1.1073
0.044515,1.404
0.058165,1.0745
0.044885,1.3924
0.059913,1.0432
0.046945,1.3314
0.064422,0.9702
0.053632,1.1653
0.063814,0.9794
0.049489,1.2629
0.063821,0.9793
0.046817,1.335
0.060131,1.0394
0.045653,1.369
0.058124,1.0753
0.044384,1.4082
0.056301,1.1101
0.04471,1.3979
0.058556,1.0674
0.044359,1.409
0.057597,1.0851
0.044135,1.4161
0.055398,1.1282
0.043364,1.4413
0.056284,1.1104
0.042889,1.4573
0.054198,1.1532
0.040715,1.5351
0.051674,1.2095
0.04074,1.5341
0.053334,1.1719
0.040071,1.5597
0.050221,1.2445
0.039711,1.5739
0.052605,1.1881
0.040242,1.5531
0.052612,1.188
0.040978,1.5252
0.053548,1.1672
0.041016,1.5238
0.052218,1.1969
0.041361,1.5111
0.054157,1.1541
0.041352,1.5114
0.05082,1.2298
0.039814,1.5698
0.052634,1.1874
0.039127,1.5973
0.049594,1.2602
0.038616,1.6185
0.051598,1.2113
0.042396,1.4742
0.074468,0.8393
0.115498,0.5411
14.547165,0.0043
0.09603,0.6508
0.104392,0.5987
0.085339,0.7324
0.133074,0.4697
0.150009,0.4166
